Outcome,Digital n,Digital mean ± SD,"Digital median [Q1, Q3]",Physical n,Physical mean ± SD,"Physical median [Q1, Q3]",Mean diff (D-P),Permutation p,Cliff's delta
Scenario average score,3,1.333 ± 0.000,"1.333 [1.333, 1.333]",1,0.000,"0.000 [0.000, 0.000]",1.333,NA,1.000
Scenario total time (s),3,1130.720 ± 414.703,"1110.157 [918.419, 1332.739]",1,2154.248,"2154.248 [2154.248, 2154.248]",-1023.528,NA,-1.000
Scenario error count,15,0.067 ± 0.258,"0.000 [0.000, 0.000]",15,0.067 ± 0.258,"0.000 [0.000, 0.000]",0.000,1.0000,0.000
Scenario major error count,15,0.067 ± 0.258,"0.000 [0.000, 0.000]",15,0.067 ± 0.258,"0.000 [0.000, 0.000]",0.000,1.0000,0.000
Scenario help count,15,0.867 ± 1.959,"0.000 [0.000, 0.000]",15,0.733 ± 2.840,"0.000 [0.000, 0.000]",0.133,1.0000,0.120
Scenario step accuracy,3,0.985 ± 0.026,"1.000 [0.977, 1.000]",1,0.864,"0.864 [0.864, 0.864]",0.121,NA,1.000
Short-form binary accuracy,3,0.833 ± 0.289,"1.000 [0.750, 1.000]",1,0.750,"0.750 [0.750, 0.750]",0.083,NA,0.333
Short-form proportion accuracy,3,0.833 ± 0.289,"1.000 [0.750, 1.000]",1,0.750,"0.750 [0.750, 0.750]",0.083,NA,0.333
Short-form average duration (s),3,100.137 ± 30.749,"102.572 [85.407, 116.084]",1,194.455,"194.455 [194.455, 194.455]",-94.318,NA,-1.000
Post-trial ease finding information,3,3.667 ± 0.577,"4.000 [3.500, 4.000]",1,2.000,"2.000 [2.000, 2.000]",1.667,NA,1.000
Post-trial confidence setup,3,4.333 ± 0.577,"4.000 [4.000, 4.500]",1,1.000,"1.000 [1.000, 1.000]",3.333,NA,1.000
Post-trial mental effort,3,2.667 ± 1.528,"3.000 [2.000, 3.500]",1,1.000,"1.000 [1.000, 1.000]",1.667,NA,0.667
Post-trial frustration,3,1.667 ± 0.577,"2.000 [1.500, 2.000]",1,5.000,"5.000 [5.000, 5.000]",-3.333,NA,-1.000
