metric,group,n,mean,sd,median,q1,q3
_participants,digital,15,,,,,
_participants,physical,15,,,,,
scenario_avg_score,digital,3,1.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333
scenario_avg_score,physical,1,0.0,,0.0,0.0,0.0
scenario_total_time_seconds,digital,3,1130.72,414.7030316346867,1110.157,918.419,1332.7395
scenario_total_time_seconds,physical,1,2154.248,,2154.248,2154.248,2154.248
scenario_error_count,digital,15,0.06666666666666667,0.25819888974716115,0.0,0.0,0.0
scenario_error_count,physical,15,0.06666666666666667,0.25819888974716115,0.0,0.0,0.0
scenario_major_error_count,digital,15,0.06666666666666667,0.25819888974716115,0.0,0.0,0.0
scenario_major_error_count,physical,15,0.06666666666666667,0.25819888974716115,0.0,0.0,0.0
scenario_help_count,digital,15,0.8666666666666667,1.9591057240729084,0.0,0.0,0.0
scenario_help_count,physical,15,0.7333333333333333,2.840187787218772,0.0,0.0,0.0
step_accuracy,digital,3,0.9848484848484849,0.026243194054073875,1.0,0.9772727272727273,1.0
step_accuracy,physical,1,0.8636363636363636,,0.8636363636363636,0.8636363636363636,0.8636363636363636
short_form_binary_accuracy,digital,3,0.8333333333333334,0.28867513459481287,1.0,0.75,1.0
short_form_binary_accuracy,physical,1,0.75,,0.75,0.75,0.75
short_form_proportion_accuracy,digital,3,0.8333333333333334,0.28867513459481287,1.0,0.75,1.0
short_form_proportion_accuracy,physical,1,0.75,,0.75,0.75,0.75
short_form_avg_duration_seconds,digital,3,100.13658333333335,30.749044898107535,102.572,85.40712500000001,116.08375
short_form_avg_duration_seconds,physical,1,194.455,,194.455,194.455,194.455
q2_info_ease,digital,3,3.6666666666666665,0.5773502691896258,4.0,3.5,4.0
q2_info_ease,physical,1,2.0,,2.0,2.0,2.0
q5_confidence_setup,digital,3,4.333333333333333,0.5773502691896258,4.0,4.0,4.5
q5_confidence_setup,physical,1,1.0,,1.0,1.0,1.0
q7_mental_effort,digital,3,2.6666666666666665,1.5275252316519465,3.0,2.0,3.5
q7_mental_effort,physical,1,1.0,,1.0,1.0,1.0
q8_tlx_frustration,digital,3,1.6666666666666667,0.5773502691896257,2.0,1.5,2.0
q8_tlx_frustration,physical,1,5.0,,5.0,5.0,5.0
