participant_id,allocation_group,scenario_task_count,scenario_total_time_seconds,scenario_avg_time_seconds,scenario_avg_score,scenario_error_count,scenario_major_error_count,scenario_help_count,step_mark_count,step_accuracy,short_form_question_count,short_form_binary_accuracy,short_form_proportion_accuracy,short_form_avg_duration_seconds,q6_digital_literacy,q7_digital_guidance,q8_physical_guidance,q9_problem_solving,q1_instructions_ease,q2_info_ease,q3_step_by_step_help,q4_instructions_satisfaction,q5_confidence_setup,q6_confidence_troubleshooting,q7_mental_effort,q8_tlx_frustration,q9_tlx_perceived_performance,q10_tlx_temporal_demand,digital_page_view_count,digital_search_count,digital_chat_count
P01,digital,3,726.681,242.227,1.3333333333333333,0,0,6,22,0.9545454545454546,4,1.0,1.0,68.24225,4,3,3,3,2,4,5,4,4,4,3,2,4,2,41,5,6
P02,physical,3,2154.248,718.0826666666667,0.0,1,1,11,22,0.8636363636363636,4,0.75,0.75,194.455,1,1,2,1,1,2,3,1,1,1,1,5,3,2,0,0,0
P03,physical,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
P04,digital,3,1555.322,518.4406666666666,1.3333333333333333,1,1,5,22,1,4,1.0,1.0,102.572,2,2,3,3,4,4,5,4,4,5,1,2,4,5,47,4,1
P05,digital,3,1110.157,370.0523333333333,1.3333333333333333,0,0,2,22,1,4,0.5,0.5,129.5955,3,4,4,4,4,3,4,4,5,4,4,1,3,1,33,8,0
P06,physical,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
P07,digital,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
P08,physical,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
P09,physical,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
P10,digital,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
P11,physical,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
P12,digital,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
P13,digital,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
P14,physical,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
P15,physical,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
P16,digital,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
P17,physical,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
P18,digital,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
P19,digital,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
P20,physical,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
P21,digital,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
P22,physical,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
P23,digital,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
P24,physical,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
P25,physical,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
P26,digital,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
P27,physical,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
P28,digital,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
P29,physical,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
P30,digital,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
